sequence_index,database_id,identity_name,record_type,structure_marker,record_offset,name_offset,name_length,confidence_score
8925,3801640,"Catê",4,189,0x00615980,0x00615984,4,100
8926,3300850,"Maurinho",4,189,0x0061599D,0x006159A1,8,100
8928,6900151,"Fábio Costa",4,189,0x006159EF,0x006159F3,11,100
8929,5360536,"Faísca",4,189,0x00615A1A,0x00615A1E,6,100
8932,315159,"Gomes",4,189,0x00615A7B,0x00615A7F,5,100
8934,305760,"Sandro Gaúcho",4,189,0x00615AB5,0x00615AB9,13,100
8937,8626147,"Cabral",4,189,0x00615B26,0x00615B2A,6,100
8938,5280410,"Ézio",4,189,0x00615B47,0x00615B4B,4,100
8941,315184,"André Silva",3,189,0x00615BA4,0x00615BA8,11,100
8943,318068,"Tobias",3,189,0x00615BEA,0x00615BEE,6,100
8947,305764,"Tostão",3,189,0x00615C76,0x00615C7A,6,100
8948,318173,"Luís Fabiano",3,189,0x00615C97,0x00615C9B,12,100
8953,318244,"Juarez",3,189,0x00615D4C,0x00615D50,6,100
8954,8833653,"Bagé",3,189,0x00615D6D,0x00615D71,4,100
8955,7001191,"Nelsinho",3,189,0x00615D8A,0x00615D8E,8,100
8957,6900048,"Darci",3,189,0x00615DCE,0x00615DD2,5,100
8959,305744,"Rangel",3,189,0x00615E10,0x00615E14,6,100
8961,318328,"Demir",3,189,0x00615E5A,0x00615E5E,5,100
8962,311378,"Pimentel",3,189,0x00615E79,0x00615E7D,8,100
8965,306014,"Jorjão",3,189,0x00615EEA,0x00615EEE,6,100
8966,318370,"Coquinho",3,189,0x00615F0B,0x00615F0F,8,100
8969,318429,"Valdinei",3,189,0x00615F6E,0x00615F72,8,100
8974,318520,"Walter",3,189,0x00616019,0x0061601D,6,100
8975,311282,"Jaime",3,189,0x0061603A,0x0061603E,5,100
8976,318560,"Wladimir",3,189,0x00616059,0x0061605D,8,100
8979,3300739,"Geovanni",3,189,0x006160BA,0x006160BE,8,100
8980,317938,"Eugênio",3,189,0x006160DF,0x006160E3,7,100
8984,318595,"Tiba",3,189,0x00616179,0x0061617D,4,100
8986,317911,"Elson",3,189,0x006161B9,0x006161BD,5,100
8987,8830544,"Marcelo Gomes",3,189,0x006161D8,0x006161DC,13,100
8988,317903,"Jordan",3,189,0x00616207,0x0061620B,6,100
8989,3300622,"Babu",3,189,0x00616228,0x0061622C,4,100
8990,317892,"Téo",3,189,0x00616245,0x00616249,3,100
8992,318644,"Carlos Magno",3,189,0x0061628B,0x0061628F,12,100
8993,317873,"Pantera",3,189,0x006162B8,0x006162BC,7,100
8994,317854,"Cleuber",3,189,0x006162DB,0x006162DF,7,100
8997,8827262,"Chris",3,189,0x00616340,0x00616344,5,100
8998,315289,"Macula",3,189,0x0061635F,0x00616363,6,100
9000,8827260,"Ulisses",3,189,0x006163A1,0x006163A5,7,100
9002,319262,"João Pedro",3,189,0x006163E9,0x006163ED,10,100
9006,7004978,"Everson",3,189,0x00616475,0x00616479,7,100
9007,8826340,"Cafú",3,189,0x00616498,0x0061649C,4,100
9008,8826333,"Bila",3,189,0x006164B5,0x006164B9,4,100
9009,312267,"João Marcelo",3,189,0x006164D2,0x006164D6,12,100
9010,305580,"Mauricinho",3,189,0x006164FF,0x00616503,10,100
9012,3300468,"Edmundo",3,189,0x0061654B,0x0061654F,7,100
9014,8825200,"Edivaldo",3,189,0x00616589,0x0061658D,8,100
9015,310840,"Fausto",3,189,0x006165AE,0x006165B2,6,100
9018,317583,"Emanuel",3,189,0x00616613,0x00616617,7,100
9021,3300390,"Mancha",3,189,0x00616678,0x0061667C,6,100
9022,312233,"Jerônimo",3,189,0x00616699,0x0061669D,8,100
9023,310580,"Héber",3,189,0x006166BE,0x006166C2,5,100
9024,3601606,"Vilmar",3,189,0x006166DD,0x006166E1,6,100
9025,317527,"Márcio Santos",3,189,0x006166FE,0x00616702,13,100
9026,305482,"Kim",3,189,0x0061672D,0x00616731,3,100
9027,316307,"Piter",3,189,0x00616748,0x0061674C,5,100
9028,309567,"Gera",3,189,0x00616767,0x0061676B,4,100
9029,3601603,"Márcio Borges",3,189,0x00616784,0x00616788,13,100
9030,3300230,"Caçapa",3,189,0x006167B3,0x006167B7,6,100
