club_record_index,club_id,header_offset,field1,field2,field3,full_name,short_name,name_offset,name_distance,score,confidence
273,1198,0x000A1239,151,255,255,"Matsumoto Giurare","Matsumoto Giurare",659891,54,105,HIGH
274,1204,0x000A1338,153,255,255,"FK Skonto Riga","Skonto",660142,86,105,HIGH
275,1211,0x000A1421,153,255,255,"FK Ekranas","Ekranas",660397,70,105,HIGH
276,1212,0x000A14FA,153,255,255,"Kaunas","",660642,70,105,HIGH
277,1218,0x000A15DF,154,255,255,"FK Zalgiris","Zalgiris",660847,62,105,HIGH
278,1222,0x000A16BC,154,255,255,"CS Grevenmacher","Grevenmacher",661076,38,105,HIGH
279,1224,0x000A178F,154,255,255,"F91 Dudelange","Dudelange",661297,38,105,HIGH
280,1226,0x000A188A,155,255,255,"AS La Jeunesse d'Esch-Alzette","Jeunesse Esch",661508,38,105,HIGH
281,1236,0x000A197D,155,255,255,"FK Pobeda Prilep","Pobeda",661759,70,105,HIGH
282,1237,0x000A1A59,155,255,255,"FC Sileks Kratovo","Sileks",662002,45,105,HIGH
283,1238,0x000A1B73,155,255,255,"FK Sloga Jugomagnat Skopje","Sloga Jugomagnat",662222,69,105,HIGH
284,1239,0x000A1C46,156,255,255,"FK Vardar Skopje","Vardar",662473,69,105,HIGH
285,1240,0x000A1D1D,156,255,255,"Birkirkara","Birkirkara",662715,46,105,HIGH
286,1243,0x000A1DEC,156,255,255,"Hibernians","Hibernians",662930,38,105,HIGH
287,1247,0x000A1ED3,109,255,255,"Sliema Wanderers","Sliema Wanderers",663137,38,105,HIGH
288,1253,0x000A1FF7,109,255,255,"Club de Fútbol América","América (MEX)",663352,109,105,HIGH
289,1254,0x000A212F,109,255,255,"Club Deportivo Cruz Azul","Cruz Azul",663644,133,105,HIGH
290,1255,0x000A221A,109,255,255,"Club Guadalajara","Chivas",663941,93,105,HIGH
291,1257,0x000A2313,109,255,255,"Club de Fútbol Monterrey","Monterrey",664176,85,105,HIGH
292,1258,0x000A23F8,109,255,255,"Club Deportivo Necaxa","Necaxa",664425,77,105,HIGH
293,1259,0x000A24AE,109,255,255,"Club Deportivo León","León",664654,38,105,HIGH
294,1260,0x000A25C6,157,255,255,"Club de Fútbol Universidad","Pumas",664855,101,105,HIGH
